sample,rowvar,QT,rel_any_now,rel_ihs_now,rel_any,rel_ihs,QTdepth,WTO_increase,WTO_bite,N_pooled,N_within,N_rel3,n_QT1,n_QT1_rel,n_QT1_wto,n_QT1_rel3grp
within_rel3,w3_QT,1,.1567513213393132,.1976232922270816,.2283827698174162,.3302841339329953,,,,17061,17061,4653,3918,573,0,815
within_rel3,w3_rel_any_now,.1567513213393132,1,.9670765896540059,.2610487174339648,.2920333561929739,,,,17061,17061,4653,3918,573,0,815
within_rel3,w3_rel_ihs_now,.1976232922270816,.9670765896540059,1,.2838628321861313,.3190920028515525,,,,17061,17061,4653,3918,573,0,815
within_rel3,w3_rel_any,.2283827698174162,.2610487174339648,.2838628321861313,1,.8956597012432982,,,,17061,17061,4653,3918,573,0,815
within_rel3,w3_rel_ihs,.3302841339329953,.2920333561929739,.3190920028515525,.8956597012432982,1,,,,17061,17061,4653,3918,573,0,815
within,w_QT,1,.0749423418292261,.0944831098899583,.1091891248974679,.1579078648555413,.7643136263650028,-.028689846016882,-.0286898460168814,17061,17061,4653,3918,573,0,815
within,w_QTdepth,.7643136263650028,.1682229095641775,.2002131319572397,.1659478464282902,.2581611276667085,1,-.077698148062895,-.077698148062893,17061,17061,4653,3918,573,0,815
within,w_rel_any_now,.0749423418292261,1,.9670765896540043,.2610487174339682,.2920333561929733,.1682229095641775,-.0313448053266684,-.031344805326669,17061,17061,4653,3918,573,0,815
within,w_rel_ihs_now,.0944831098899583,.9670765896540043,1,.2838628321861353,.3190920028515521,.2002131319572397,-.0587157808816817,-.0587157808816807,17061,17061,4653,3918,573,0,815
within,w_rel_any,.1091891248974679,.2610487174339682,.2838628321861353,1,.8956597012433115,.1659478464282902,-.004208049521444,-.0042080495214444,17061,17061,4653,3918,573,0,815
within,w_rel_ihs,.1579078648555413,.2920333561929733,.3190920028515521,.8956597012433115,1,.2581611276667085,-.0505445216817651,-.050544521681765,17061,17061,4653,3918,573,0,815
within,w_WTO_increase,-.028689846016882,-.0313448053266684,-.0587157808816817,-.004208049521444,-.0505445216817651,-.077698148062895,1,1.000000000000008,17061,17061,4653,3918,573,0,815
within,w_WTO_bite,-.0286898460168814,-.031344805326669,-.0587157808816807,-.0042080495214444,-.050544521681765,-.077698148062893,1.000000000000008,1,17061,17061,4653,3918,573,0,815
pooled,QT,1,.002926394761274,.0177697870552074,-.0059289637636371,.0257219978748015,.7403919837780208,-.0537900668308965,-.0537900668308752,17061,17061,4653,3918,573,0,815
pooled,QTdepth,.7403919837780208,.1624608384014541,.1846284476526116,.1451878628102984,.1952472907088248,1,-.0398257342884763,-.0398257342884809,17061,17061,4653,3918,573,0,815
pooled,rel_any_now,.002926394761274,1,.9821839845194745,.6822440333291682,.6902067327868479,.1624608384014541,.0637954846488898,.0637954846488804,17061,17061,4653,3918,573,0,815
pooled,rel_ihs_now,.0177697870552074,.9821839845194745,1,.6852032708303706,.6975299794998717,.1846284476526116,.0432934540047272,.0432934540047133,17061,17061,4653,3918,573,0,815
pooled,rel_any,-.0059289637636371,.6822440333291682,.6852032708303706,1,.9657745557913474,.1451878628102984,.1131962230031108,.1131962230031117,17061,17061,4653,3918,573,0,815
pooled,rel_ihs,.0257219978748015,.6902067327868479,.6975299794998717,.9657745557913474,1,.1952472907088248,.0804224515786238,.0804224515786348,17061,17061,4653,3918,573,0,815
pooled,WTO_increase,-.0537900668308965,.0637954846488898,.0432934540047272,.1131962230031108,.0804224515786238,-.0398257342884763,1,1.000000000000297,17061,17061,4653,3918,573,0,815
pooled,WTO_bite,-.0537900668308752,.0637954846488804,.0432934540047133,.1131962230031117,.0804224515786348,-.0398257342884809,1.000000000000297,1,17061,17061,4653,3918,573,0,815
