"item","item2","date","quant","quant_sa_add","quant_sa_mul","price","price_sa_add","price_sa_mul"
"°¨±Ö","°¨±Ö",2021-01-08,3236203,3236203,3236203,2401,2401,2401
"°¨±Ö","°¨±Ö",2021-01-15,2508594.3,2591991.6,2643722.08138586,2468,2353.60000000001,2398.07804442902
"°¨±Ö","°¨±Ö",2021-01-22,2519534.3,2629484.1,2731526.86022331,2618,2374.20000000001,2463.29747126061
"°¨±Ö","°¨±Ö",2021-01-29,2950184.8,3559988.7,3890255.85995194,2634,2264.60000000001,2405.35649700172
"°¨±Ö","°¨±Ö",2021-02-05,3587475.8,4327960.2,5324378.63680429,2707,1687.60000000001,2213.27578974115
"°¨±Ö","°¨±Ö",2021-02-12,1392841.8,2639150.452,2715216.57521805,2654,1491.80000000001,2111.34429151259
"°¨±Ö","°¨±Ö",2021-02-19,1188890.8,2820114.722,3135187.62125672,2561,1241.20000000001,2004.47185707646
"°¨±Ö","°¨±Ö",2021-02-26,1621497,3106924.016,4000185.92725749,2544,1027.20000000002,1915.38828550966
"°¨±Ö","°¨±Ö",2021-03-05,956675,2911977.285,3698910.26730412,3119,461.050000000009,1904.24249166146
"°¨±Ö","°¨±Ö",2021-03-12,487338.91,2731410.82,3062864.71472231,5947,1414.46666666668,2493.62478026405
"°¨±Ö","°¨±Ö",2021-03-19,308418.41,2700983.765,2941100.14964151,6657,3140.30000000002,3139.12529020091
"°¨±Ö","°¨±Ö",2021-03-26,382825.19,2731038.505,3187592.36005186,6571,3054.8,3100.00191950406
"°¨±Ö","°¨±Ö",2021-04-02,226068.59,2672839.1,2659200.81897103,7003,3308.80000000001,3217.60097843267
"°¨±Ö","°¨±Ö",2021-04-09,,,,,,
"°¨±Ö","°¨±Ö",2021-04-16,,,,,,
"°¨±Ö","°¨±Ö",2021-04-23,,,,,,
"°¨±Ö","°¨±Ö",2021-04-30,,,,,,
"°¨±Ö","°¨±Ö",2021-05-07,,,,,,
"°¨±Ö","°¨±Ö",2021-05-14,,,,,,
"°¨±Ö","°¨±Ö",2021-05-21,,,,,,
"°¨±Ö","°¨±Ö",2021-05-28,,,,,,
"°¨±Ö","°¨±Ö",2021-06-04,,,,,,
"°¨±Ö","°¨±Ö",2021-06-11,,,,,,
"°¨±Ö","°¨±Ö",2021-06-18,,,,,,
"°¨±Ö","°¨±Ö",2021-06-25,,,,,,
"°¨±Ö","°¨±Ö",2021-07-02,,,,,,
"°¨±Ö","°¨±Ö",2021-07-09,157368.5,2230642.62,699905.002681075,8323,4547.80000000001,3780.66614692231
"°¨±Ö","°¨±Ö",2021-07-16,151680.3,2035320.7375,524998.374131574,8546,6015.80000000001,4742.41660322991
"°¨±Ö","°¨±Ö",2021-07-23,201877.75,1647612.9,450863.107105822,8395,7157.80000000001,6026.70728473148
"°¨±Ö","°¨±Ö",2021-07-30,195580.78,1379334.23,359289.953695163,8217,7803.80000000001,7208.10235290959
"°¨±Ö","°¨±Ö",2021-08-06,223898.45,1262396.075,365341.621379499,8258,8363.3,8394.89349560733
"°¨±Ö","°¨±Ö",2021-08-13,251399.02,1098187.72,374892.683988945,8170,8394.55000000001,8573.81412791924
"°¨±Ö","°¨±Ö",2021-08-20,287797.28,1374236.655,488992.650404956,7905,8177.55000000001,8418.1936898211
"°¨±Ö","°¨±Ö",2021-08-27,297783.41,995703.060000001,409029.484276087,7884,8107.55000000001,8281.11475100203
"°¨±Ö","°¨±Ö",2021-09-03,280557.19,1075927.09,398677.497183883,7822,8049.55000000001,8234.3007652487
"°¨±Ö","°¨±Ö",2021-09-10,457033.78,1007841.18,577881.713544637,7910,8117.55000000001,8278.74143576598
